Textbox4,Textbox7,Textbox8,Textbox10,Textbox11,Textbox14,Textbox13,Textbox20,Textbox21,Textbox23,Textbox24,Textbox26,Textbox27,Textbox30,Textbox29,Textbox34,Textbox36,Textbox39,Textbox37
"Monday, May 22, 2017",*All Records,0,*All Records,0,0,*All Records,*All Records,0,*All Records,0,*All Records,0,0,*All Records,*All Records,0,0,*All Records

Textbox594,Textbox124,Textbox600,shipto_cust_numb1,s_shipto_name,job_numb,order_qty11,line_numb,fg_item_numb,fg_item_desc,ship_line_numb1,DATE_WANTED,onhandquantity,order_qty1,unit_cost,shipto_numb,shipto_numb1,shipto_phone,unit_cost1,DATE_SHIP1,Textbox115,Textbox117,Textbox119,Textbox268,Textbox270,Textbox272
01433,CREATIVE DESIGN SOLUTIONS,Clarissa       Schmidt        ,00000,CREATIVE DESIGN SOLUTIONS,642005,       1,007,CDS0029645  ,BUILDING C  ADA SIGNAGE       ,001,12/20/2016,1,1,"$3,261.63",1,"$3,261.63",0,$0.00,,"$21,274.63","$19,923.63","$1,351.00","$874,279.95","$771,364.11","$102,915.84"
01433,CREATIVE DESIGN SOLUTIONS,Clarissa       Schmidt        ,00000,CREATIVE DESIGN SOLUTIONS,642005,       5,001,CDS0029644  ,IN CASE OF FIRE ELEVATOR SIGN ,001,12/20/2016,5,5,$423.85,5,$423.85,0,$0.00,,"$21,274.63","$19,923.63","$1,351.00","$874,279.95","$771,364.11","$102,915.84"
01433,CREATIVE DESIGN SOLUTIONS,Clarissa       Schmidt        ,00000,CREATIVE DESIGN SOLUTIONS,642005,       5,002,INSTALLATION,INSTALLATION OF GRAPHICS      ,001,12/20/2016,0,5,$60.00,5,$60.00,0,$0.00,,"$21,274.63","$19,923.63","$1,351.00","$874,279.95","$771,364.11","$102,915.84"
01433,CREATIVE DESIGN SOLUTIONS,Clarissa       Schmidt        ,00000,CREATIVE DESIGN SOLUTIONS,642005,      18,008,INSTALLATION,INSTALLATION OF GRAPHICS      ,001,12/20/2016,0,18,$216.00,18,$216.00,0,$0.00,,"$21,274.63","$19,923.63","$1,351.00","$874,279.95","$771,364.11","$102,915.84"
01433,CREATIVE DESIGN SOLUTIONS,Clarissa       Schmidt        ,00000,CREATIVE DESIGN SOLUTIONS,642059,       1,001,CDS0029713  ,TABLE TOP NAME SIGNS          ,001,12/20/2016,1,1,$289.54,1,$289.54,0,$0.00,,"$21,274.63","$19,923.63","$1,351.00","$874,279.95","$771,364.11","$102,915.84"
01433,CREATIVE DESIGN SOLUTIONS,Clarissa       Schmidt        ,00000,CREATIVE DESIGN SOLUTIONS,642059,       1,002,CDS0029712  ,LEAF SIDE LIGHT GRAPHIC       ,001,12/20/2016,1,1,$537.18,1,$537.18,0,$0.00,,"$21,274.63","$19,923.63","$1,351.00","$874,279.95","$771,364.11","$102,915.84"
01433,CREATIVE DESIGN SOLUTIONS,Clarissa       Schmidt        ,00000,CREATIVE DESIGN SOLUTIONS,642059,       1,003,INSTALLATION,INSTALLATION OF GRAPHICS      ,001,12/20/2016,0,1,$65.00,1,$65.00,0,$0.00,,"$21,274.63","$19,923.63","$1,351.00","$874,279.95","$771,364.11","$102,915.84"
01433,CREATIVE DESIGN SOLUTIONS,Clarissa       Schmidt        ,00000,CREATIVE DESIGN SOLUTIONS,642088,       1,001,CDS0029715  ,3 TIERED ACRYLIC LIT RACK     ,001,12/23/2016,0,1,$208.28,1,$208.28,0,$0.00,,"$21,274.63","$19,923.63","$1,351.00","$874,279.95","$771,364.11","$102,915.84"
01433,CREATIVE DESIGN SOLUTIONS,Clarissa       Schmidt        ,00000,CREATIVE DESIGN SOLUTIONS,642088,       1,002,CDS0029357  ,NAVARRE 4470 ROOM ID SIGNS    ,001,12/23/2016,1,1,$681.58,1,$681.58,0,$0.00,,"$21,274.63","$19,923.63","$1,351.00","$874,279.95","$771,364.11","$102,915.84"
01433,CREATIVE DESIGN SOLUTIONS,Clarissa       Schmidt        ,00000,CREATIVE DESIGN SOLUTIONS,642088,       1,003,INSTALLATION,INSTALLATION OF GRAPHICS      ,001,12/23/2016,0,1,$205.00,1,$205.00,0,$0.00,,"$21,274.63","$19,923.63","$1,351.00","$874,279.95","$771,364.11","$102,915.84"
01433,CREATIVE DESIGN SOLUTIONS,Clarissa       Schmidt        ,00000,CREATIVE DESIGN SOLUTIONS,642395,       1,001,CDS0029817  ,NAVARRE 4470 ADDT'L SIGNS     ,001,1/10/2017,1,1,$537.46,1,$537.46,0,$0.00,,"$21,274.63","$19,923.63","$1,351.00","$874,279.95","$771,364.11","$102,915.84"
01433,CREATIVE DESIGN SOLUTIONS,Clarissa       Schmidt        ,00000,CREATIVE DESIGN SOLUTIONS,642395,       1,002,INSTALLATION,INSTALLATION OF GRAPHICS      ,001,1/10/2017,0,1,$140.00,1,$140.00,0,$0.00,,"$21,274.63","$19,923.63","$1,351.00","$874,279.95","$771,364.11","$102,915.84"
01166,"CREST MARINE, LLC        ",Mark           Brummel        ,00003,CREST MARINE LLC         ,618108,     725,005,PROTO       ,PROTO                         ,001,2/7/2011,1,725,$166.03,725,$166.03,0,$0.00,9/20/2011,$332.05,$332.05,$332.05,"$874,279.95","$771,364.11","$102,915.84"
01166,"CREST MARINE, LLC        ",Mark           Brummel        ,00003,CREST MARINE LLC         ,618108,     725,005,PROTO       ,PROTO                         ,001,2/7/2011,1,725,$166.03,0,$0.00,725,$166.03,,$332.05,$332.05,$332.05,"$874,279.95","$771,364.11","$102,915.84"
01166,"CREST MARINE, LLC        ",Mark           Brummel        ,00003,CREST MARINE LLC         ,618489,     725,002,CRE0013907  ,SM UPPER ROLL STRIPE          ,001,3/29/2011,0,725,$166.03,725,$166.03,0,$0.00,9/20/2011,$332.05,$332.05,$332.05,"$874,279.95","$771,364.11","$102,915.84"
01166,"CREST MARINE, LLC        ",Mark           Brummel        ,00003,CREST MARINE LLC         ,618489,     725,002,CRE0013907  ,SM UPPER ROLL STRIPE          ,001,3/29/2011,0,725,$166.03,0,$0.00,725,$166.03,,$332.05,$332.05,$332.05,"$874,279.95","$771,364.11","$102,915.84"
